name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,conf_flag,CT,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
 2CXO J110453.3-584900,166.22241666666665,-58.81691944444445,0.3867120695782107,7.79,8.486358289449471e-15,0.6365087975682148,,0.52,,,,0,,AGN,0.43765666666666664,0.28000806928249017,0,0.07258787619602855,0.43765666666666664,0.0008150000000000001,0.011005000000000001,0.0,0.0,0.14784916666666667,0.39983416666666666,0.0028399999999999996,0.28000806928249017,0.004469983865267944,0.014994659543144507,0.0,0.0,0.12979167470439915,0.24105001895607073,0.006270863076461144
 2CXO J110454.3-584918,166.226375,-58.821783333333336,0.507643721081158,5.09,1.853087974521157e-15,-0.7520332222913264,,0.141,18.008957,15.346,14.252,8,,YSO,0.57252,0.15832535020178073,0,0.8005330876545272,0.00265,0.07459,0.01662,0.31711,0.00762,0.00809,0.0008,0.57252,0.00557750917602191,0.057268766457918514,0.015862762282377783,0.16072454784593507,0.010365473604377324,0.012450176982955178,0.005252388750615058,0.15832535020178073
 2CXO J110454.4-584312,166.22679166666663,-58.72005277777778,1.3176183054527368,7.06,5.189704202495883e-15,-0.8407214799266925,,0.146,13.888062,12.526,,7,,LM-STAR,0.875955,0.053218372487047846,1,8.184513568272221,2.9999999999999997e-05,0.00235,0.08746999999999999,0.875955,5e-05,0.0016500000000000002,5e-05,0.032445,0.00054717401199198,0.004960050614873007,0.04312027897009085,0.053218372487047846,0.0007056897321046961,0.0040735849192196924,0.0008355825501996778,0.023605172720808035
 2CXO J110454.9-584712,166.22912499999998,-58.786858333333335,0.7138124568957719,5.73,2.341579003724094e-15,-0.7836260509237474,,0.262,13.414476,12.329,11.677,8,,LM-STAR,0.95901,0.049162351823695674,1,10.831782558649211,0.0,5e-05,0.024820000000000002,0.95901,2.9999999999999997e-05,4e-05,0.0,0.016050000000000002,0.0,0.0007056897321046959,0.03708291712827812,0.049162351823695674,0.00054717401199198,0.0006315051850925681,0.0,0.020931689746306558
 2CXO J110455.3-585516,166.23079166666665,-58.92136666666666,0.7835699870193112,6.01,3.841653828827981e-15,-0.3043416065544336,,1.0,18.923538,16.163,,6,,LM-STAR,0.418315,0.12913815252448613,0,0.08946349874060149,0.00853,0.06737,0.0028599999999999997,0.418315,0.00441,0.09621,0.00497,0.397335,0.010121340896419875,0.0387748189755489,0.005481829115400301,0.12913815252448613,0.007355678487128566,0.06953395480533858,0.00899332974931866,0.10537089636517666
 2CXO J110455.7-585534,166.23220833333332,-58.926141666666666,0.8647638056741389,5.47,3.755786125760005e-15,-0.6157359484126159,,0.431,10.919867,10.312,9.996,9,,LM-STAR,0.8666200000000001,0.0831943321200242,1,4.610373210367316,1e-05,0.00011999999999999999,0.11955500000000001,0.8666200000000001,2e-05,4e-05,0.0,0.013635,0.00031622776601683794,0.0010893974420691406,0.07884569499103052,0.0831943321200242,0.0004469897088298562,0.0006315051850925683,0.0,0.0150045630363537
 2CXO J110456.3-585015,166.23479166666664,-58.83753055555556,0.2504160744521957,12.68,1.2552797884560804e-14,-0.5209036220206441,,1.0,16.743721,13.182,12.293,7,,YSO,0.52161,0.06411917941746582,1,2.2810458261024658,0.007135,0.07251,0.06149,0.24142000000000002,0.0046749999999999995,0.08108,0.01008,0.52161,0.008845621516887324,0.03059552231922158,0.025922034099426908,0.05871482803373465,0.007191738044179317,0.03338484908080533,0.012146651437377351,0.06411917941746582
 2CXO J110457.9-584742,166.24166666666665,-58.79505,0.699294905716263,5.03,1.796834395706479e-15,-0.7382768488510001,,0.592,8.389723,8.21,8.136,9,,LM-STAR,0.8307899999999999,0.1107209782969562,1,3.6802807989230732,5.9999999999999995e-05,0.00025,0.12215999999999999,0.8307899999999999,4e-05,0.00015,1e-05,0.04654,0.0007726558075864029,0.0016248508055018908,0.08182682952449041,0.1107209782969562,0.0007739502561528086,0.0012161327966052798,0.0003162277660168379,0.048159607014050164
 2CXO J110458.3-585053,166.24295833333332,-58.84810555555556,0.3491237514272164,6.37,6.374110669093223e-15,0.7789246066029683,,0.013,,,,0,,AGN,0.886265,0.1086044183939801,1,4.455649503999059,0.886265,0.00025,0.01638166666666667,1e-05,0.0,0.01773,0.07389333333333332,0.00547,0.1086044183939801,0.0015620307103062785,0.01854510796309087,0.0003162277660168379,0.0,0.05845651601202609,0.07371954266658858,0.01254138694030235
 2CXO J110458.5-584450,166.24379166666665,-58.74739722222223,0.9593460524149386,6.91,4.451141734426208e-15,-0.6955982377219718,,0.98,12.841857,11.881,11.377,9,conf,LM-STAR,0.98502,0.02651230850949239,1,23.424031374247622,0.0,0.00039,0.00779,0.98502,8e-05,0.00031,0.0,0.00641,0.0,0.0022700337118758945,0.015206812524232253,0.02651230850949239,0.0008912880535463234,0.0019513348527886514,0.0,0.013630762916935261
