#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
14334_000,2620,ens0042100_001,acisf14334_000N020_b1053_h_ecf90_prep3.fits,6.41E-14,1.14E-14,6.40E-14,5.22E-14,7.76E-14,1
04374_000,2516,ens0042100_001,acisf04374_000N020_b0996_h_ecf90_prep3.fits,6.39E-14,2.61E-15,6.39E-14,6.10E-14,6.69E-14,1
13637_000,2657,ens0042100_001,acisf13637_000N020_b1069_h_ecf90_prep3.fits,6.22E-14,6.40E-15,6.24E-14,5.54E-14,6.98E-14,1.0017
06291_001,630,ens0006100_001,acisf06291_001N021_b0566_h_ecf90_prep3.fits,6.38E-14,4.72E-15,6.07E-14,5.56E-14,6.62E-14,0.9991
04374_000,3135,ens0042100_001,acisf04374_000N020_b1069_h_ecf90_prep3.fits,5.78E-14,2.70E-15,5.82E-14,5.53E-14,6.08E-14,1.0001
14334_000,2657,ens0042100_001,acisf14334_000N020_b1069_h_ecf90_prep3.fits,5.59E-14,1.09E-14,5.77E-14,4.58E-14,6.94E-14,0.9993
15546_000,2657,ens0042100_001,acisf15546_000N020_b1069_h_ecf90_prep3.fits,5.77E-14,7.89E-15,5.76E-14,4.98E-14,6.67E-14,1.0001
14334_000,2883,ens0042100_001,acisf14334_000N020_b1135_h_ecf90_prep3.fits,5.66E-14,1.42E-14,5.48E-14,3.98E-14,6.96E-14,1.0018
01522_002,3133,ens0042100_001,acisf01522_002N020_b1069_h_ecf90_prep3.fits,5.16E-14,6.22E-15,5.12E-14,4.42E-14,5.83E-14,0.9996
14335_000,3286,ens0042100_001,acisf14335_000N020_b1035_h_ecf90_prep3.fits,5.03E-14,7.85E-15,5.08E-14,4.26E-14,5.89E-14,1.0013
04469_000,151,ens0274800_001,acisf04469_000N021_b0147_h_ecf90_prep3.fits,5.13E-14,2.86E-15,4.87E-14,4.56E-14,5.19E-14,1.0086
13637_000,3286,ens0042100_001,acisf13637_000N020_b1035_h_ecf90_prep3.fits,4.46E-14,6.72E-15,4.45E-14,3.71E-14,5.16E-14,0.9993
03754_001,657,ens0002400_001,acisf03754_001N020_b0477_h_ecf90_prep3.fits,4.11E-14,9.41E-15,4.32E-14,3.30E-14,5.31E-14,1.0032
08936_000,251,ens0042100_001,acisf08936_000N020_b0198_h_ecf90_prep3.fits,6.73E-14,2.00E-14,4.19E-14,2.32E-14,6.37E-14,1.0032
