#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
04373_000,2460,ens0042100_001,acisf04373_000N020_b0975_s_ecf90_prep3.fits,0.00E+00,8.07E-19,1.98E-17,6.55E-20,4.60E-17,1.0101
04396_000,3257,ens0042100_001,acisf04396_000N020_b0711_s_ecf90_prep3.fits,0.00E+00,1.40E-18,1.98E-17,6.69E-20,4.72E-17,1.0027
04373_000,2590,ens0042100_001,acisf04373_000N020_b0362_s_ecf90_prep3.fits,0.00E+00,1.17E-18,1.98E-17,8.89E-20,4.41E-17,0.9991
04373_000,1282,ens0042100_001,acisf04373_000N020_b0651_s_ecf90_prep3.fits,0.00E+00,5.79E-19,1.98E-17,1.48E-19,5.11E-17,0.9991
04396_000,1430,ens0042100_001,acisf04396_000N020_b0689_s_ecf90_prep3.fits,0.00E+00,1.07E-18,1.98E-17,1.60E-19,4.80E-17,1.0003
04374_000,3299,ens0042100_001,acisf04374_000N020_b1036_s_ecf90_prep3.fits,0.00E+00,1.56E-18,1.99E-17,6.44E-21,4.32E-17,0.999
04374_000,3152,ens0042100_001,acisf04374_000N020_b1201_s_ecf90_prep3.fits,0.00E+00,1.18E-18,1.99E-17,1.57E-20,4.87E-17,0.9991
04374_000,3257,ens0042100_001,acisf04374_000N020_b0711_s_ecf90_prep3.fits,0.00E+00,1.41E-18,1.99E-17,2.26E-20,4.68E-17,0.9998
04396_000,2530,ens0042100_001,acisf04396_000N020_b0336_s_ecf90_prep3.fits,0.00E+00,8.76E-19,1.99E-17,3.19E-20,4.71E-17,1.0023
04373_000,880,ens0042100_001,acisf04373_000N020_b0489_s_ecf90_prep3.fits,0.00E+00,1.29E-18,1.99E-17,3.27E-20,4.63E-17,1.0005
04374_000,895,ens0042100_001,acisf04374_000N020_b0494_s_ecf90_prep3.fits,0.00E+00,2.32E-18,1.99E-17,4.37E-20,4.63E-17,0.9993
04373_000,1426,ens0042100_001,acisf04373_000N020_b0687_s_ecf90_prep3.fits,0.00E+00,1.02E-18,1.99E-17,5.38E-20,4.80E-17,1.0002
04373_000,3133,ens0042100_001,acisf04373_000N020_b1069_s_ecf90_prep3.fits,0.00E+00,2.80E-17,1.99E-17,7.87E-20,4.70E-17,1.0003
04373_000,2402,ens0042100_001,acisf04373_000N020_b0952_s_ecf90_prep3.fits,0.00E+00,6.40E-19,1.99E-17,1.28E-19,4.91E-17,1.0006
03744_000,847,ens0042100_001,acisf03744_000N020_b0470_s_ecf90_prep3.fits,0.00E+00,1.03E-18,1.99E-17,1.47E-19,4.86E-17,0.9999
04396_000,1435,ens0042100_001,acisf04396_000N020_b0692_s_ecf90_prep3.fits,0.00E+00,5.26E-19,2.00E-17,1.46E-20,4.65E-17,1.0045
04373_000,3412,ens0042100_001,acisf04373_000N020_b0948_s_ecf90_prep3.fits,0.00E+00,1.62E-18,2.00E-17,1.68E-20,4.66E-17,0.999
03744_000,2872,ens0042100_001,acisf03744_000N020_b0688_s_ecf90_prep3.fits,0.00E+00,9.20E-19,2.00E-17,2.08E-20,4.66E-17,0.9993
04396_000,329,ens0042100_001,acisf04396_000N020_b0234_s_ecf90_prep3.fits,0.00E+00,4.49E-19,2.00E-17,2.65E-20,4.73E-17,1.0117
04374_000,847,ens0042100_001,acisf04374_000N020_b0470_s_ecf90_prep3.fits,0.00E+00,9.17E-19,2.00E-17,1.24E-19,4.94E-17,0.9997
03744_000,2494,ens0042100_001,acisf03744_000N020_b0987_s_ecf90_prep3.fits,0.00E+00,1.79E-18,2.01E-17,3.46E-21,5.07E-17,0.999
04373_000,1449,ens0042100_001,acisf04373_000N020_b0698_s_ecf90_prep3.fits,0.00E+00,1.31E-18,2.01E-17,1.68E-20,4.65E-17,1.0023
03744_000,2401,ens0042100_001,acisf03744_000N020_b0951_s_ecf90_prep3.fits,0.00E+00,5.55E-19,2.01E-17,7.86E-20,4.35E-17,0.9994
