#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
13637_000,2883,ens0042100_001,acisf13637_000N020_b1135_m_ecf90_prep3.fits,9.05E-15,1.48E-15,8.95E-15,7.28E-15,1.07E-14,0.9992
13637_000,1757,ens0042100_001,acisf13637_000N020_b0810_m_ecf90_prep3.fits,8.79E-15,1.41E-15,8.86E-15,7.46E-15,1.04E-14,0.9992
14334_000,872,ens0042100_001,acisf14334_000N020_b0485_m_ecf90_prep3.fits,8.00E-15,2.42E-15,8.21E-15,5.78E-15,1.10E-14,1.0007
15546_000,114,ens0042100_001,acisf15546_000N020_b0070_m_ecf90_prep3.fits,8.05E-15,1.67E-15,8.19E-15,6.38E-15,1.01E-14,0.9994
07867_000,174,ens0022300_001,acisf07867_000N020_b0084_m_ecf90_prep3.fits,8.15E-15,2.27E-15,8.08E-15,5.62E-15,1.08E-14,0.9992
03498_000,855,ens0042100_001,acisf03498_000N020_b0476_m_ecf90_prep3.fits,8.09E-15,8.80E-16,8.04E-15,7.06E-15,9.02E-15,1.0039
06419_000,211,ens0042100_001,acisf06419_000N020_b0117_m_ecf90_prep3.fits,7.67E-15,1.62E-15,7.64E-15,5.89E-15,9.62E-15,0.9997
01522_002,855,ens0042100_001,acisf01522_002N020_b0476_m_ecf90_prep3.fits,7.52E-15,1.09E-15,7.60E-15,6.36E-15,8.93E-15,0.9994
00654_000,193,ens0002900_001,acisf00654_000N021_b0074_m_ecf90_prep3.fits,7.18E-15,3.56E-15,6.98E-15,3.59E-15,1.16E-14,0.9993
15546_000,891,ens0042100_001,acisf15546_000N020_b0494_m_ecf90_prep3.fits,6.69E-15,1.50E-15,6.76E-15,5.19E-15,8.41E-15,1.0018
03744_000,872,ens0042100_001,acisf03744_000N020_b0485_m_ecf90_prep3.fits,6.64E-15,5.11E-16,6.67E-15,6.16E-15,7.22E-15,1.0016
13637_000,872,ens0042100_001,acisf13637_000N020_b0485_m_ecf90_prep3.fits,6.39E-15,1.26E-15,6.47E-15,5.12E-15,7.79E-15,0.9991
04395_000,114,ens0042100_001,acisf04395_000N020_b0070_m_ecf90_prep3.fits,6.35E-15,6.02E-16,6.39E-15,5.73E-15,7.04E-15,1.0023
03344_000,33,ens0042300_001,acisf03344_000N020_b0032_m_ecf90_prep3.fits,6.37E-15,9.46E-16,6.25E-15,5.29E-15,7.25E-15,0.9994
13637_000,779,ens0042100_001,acisf13637_000N020_b0433_m_ecf90_prep3.fits,6.07E-15,1.15E-15,6.11E-15,4.94E-15,7.43E-15,0.9997
04395_000,2203,ens0042100_001,acisf04395_000N020_b0910_m_ecf90_prep3.fits,6.13E-15,6.29E-16,6.08E-15,5.42E-15,6.82E-15,0.9992
14335_000,2883,ens0042100_001,acisf14335_000N020_b1135_m_ecf90_prep3.fits,6.05E-15,1.38E-15,6.07E-15,4.58E-15,7.54E-15,0.9998
06416_001,372,ens0042100_001,acisf06416_001N020_b0251_m_ecf90_prep3.fits,6.13E-15,1.24E-15,6.04E-15,4.88E-15,7.56E-15,0.9998
04373_000,114,ens0042100_001,acisf04373_000N020_b0070_m_ecf90_prep3.fits,5.88E-15,4.37E-16,5.90E-15,5.43E-15,6.38E-15,1.0016
03744_000,1662,ens0042100_001,acisf03744_000N020_b0767_m_ecf90_prep3.fits,4.48E-18,4.20E-17,5.57E-15,4.15E-16,1.10E-14,1.0614
05405_000,35,ens0144800_001,acisf05405_000N020_b0033_m_ecf90_prep3.fits,5.42E-15,1.45E-15,5.55E-15,4.12E-15,7.16E-15,1.0023
06419_000,159,ens0042100_001,acisf06419_000N020_b0137_m_ecf90_prep3.fits,5.43E-15,1.56E-15,5.53E-15,3.89E-15,7.19E-15,1.0001
15546_000,872,ens0042100_001,acisf15546_000N020_b0485_m_ecf90_prep3.fits,5.15E-15,1.49E-15,5.32E-15,3.72E-15,6.95E-15,0.9997
11051_000,961,ens0002900_001,acisf11051_000N021_b0222_m_ecf90_prep3.fits,4.91E-15,3.41E-15,5.25E-15,1.92E-15,8.50E-15,1.0022
13637_000,2609,ens0042100_001,acisf13637_000N020_b1045_m_ecf90_prep3.fits,5.10E-15,1.08E-15,5.13E-15,4.03E-15,6.34E-15,0.9993
03498_000,779,ens0042100_001,acisf03498_000N020_b0433_m_ecf90_prep3.fits,5.15E-15,6.65E-16,5.12E-15,4.41E-15,5.83E-15,1.001
14335_000,3450,ens0042100_001,acisf14335_000N020_b1097_m_ecf90_prep3.fits,5.03E-15,1.15E-15,5.08E-15,3.81E-15,6.38E-15,0.999
13637_000,309,ens0042100_001,acisf13637_000N020_b0218_m_ecf90_prep3.fits,4.98E-15,1.12E-15,4.97E-15,3.79E-15,6.33E-15,0.9993
16182_000,291,ens0047600_001,acisf16182_000N020_b0200_m_ecf90_prep3.fits,4.75E-15,7.32E-16,4.85E-15,4.06E-15,5.64E-15,0.9992
16181_000,291,ens0047600_001,acisf16181_000N020_b0200_m_ecf90_prep3.fits,4.71E-15,7.72E-16,4.80E-15,3.93E-15,5.69E-15,1.0013
16186_000,291,ens0047600_001,acisf16186_000N020_b0200_m_ecf90_prep3.fits,4.80E-15,1.12E-15,4.75E-15,3.53E-15,6.10E-15,1.0011
13637_000,2588,ens0042100_001,acisf13637_000N020_b1036_m_ecf90_prep3.fits,4.68E-15,1.03E-15,4.74E-15,3.67E-15,5.93E-15,1.0021
15546_000,3297,ens0042100_001,acisf15546_000N020_b1069_m_ecf90_prep3.fits,4.42E-15,1.31E-15,4.45E-15,3.23E-15,6.05E-15,1.0005
14335_000,2609,ens0042100_001,acisf14335_000N020_b1045_m_ecf90_prep3.fits,4.43E-15,1.03E-15,4.44E-15,3.37E-15,5.59E-15,1.0025
17416_000,291,ens0047600_001,acisf17416_000N020_b0200_m_ecf90_prep3.fits,4.27E-15,7.74E-16,4.42E-15,3.51E-15,5.31E-15,0.9992
02409_000,291,ens0047600_001,acisf02409_000N020_b0200_m_ecf90_prep3.fits,4.34E-15,6.25E-16,4.35E-15,3.69E-15,5.15E-15,1.0004
01522_002,2640,ens0042100_001,acisf01522_002N020_b1064_m_ecf90_prep3.fits,4.35E-15,7.72E-16,4.33E-15,3.59E-15,5.22E-15,0.9992
14334_000,409,ens0042100_001,acisf14334_000N020_b0277_m_ecf90_prep3.fits,4.08E-15,1.70E-15,4.31E-15,2.67E-15,6.14E-15,0.9997
16177_000,291,ens0047600_001,acisf16177_000N020_b0200_m_ecf90_prep3.fits,4.28E-15,5.10E-16,4.27E-15,3.73E-15,4.86E-15,1.0117
16644_000,291,ens0047600_001,acisf16644_000N020_b0200_m_ecf90_prep3.fits,4.20E-15,8.31E-16,4.21E-15,3.32E-15,5.22E-15,0.9996
06359_000,19,ens0148800_001,acisf06359_000N021_b0017_m_ecf90_prep3.fits,4.08E-15,1.14E-15,4.12E-15,2.94E-15,5.42E-15,1.0004
16180_000,291,ens0047600_001,acisf16180_000N020_b0200_m_ecf90_prep3.fits,4.10E-15,7.68E-16,4.11E-15,3.38E-15,5.06E-15,0.999
04373_000,2798,ens0042100_001,acisf04373_000N020_b1116_m_ecf90_prep3.fits,4.16E-15,4.31E-16,4.11E-15,3.69E-15,4.61E-15,0.9991
14335_000,309,ens0042100_001,acisf14335_000N020_b0218_m_ecf90_prep3.fits,4.05E-15,9.89E-16,4.06E-15,3.12E-15,5.21E-15,1.0032
16450_000,291,ens0047600_001,acisf16450_000N020_b0200_m_ecf90_prep3.fits,3.93E-15,6.09E-16,4.02E-15,3.31E-15,4.64E-15,1.0011
16620_000,291,ens0047600_001,acisf16620_000N020_b0200_m_ecf90_prep3.fits,4.02E-15,9.59E-16,3.97E-15,2.99E-15,5.10E-15,1.0003
17542_000,291,ens0047600_001,acisf17542_000N020_b0200_m_ecf90_prep3.fits,3.78E-15,9.30E-16,3.94E-15,2.87E-15,5.00E-15,1.0025
17535_000,291,ens0047600_001,acisf17535_000N020_b0200_m_ecf90_prep3.fits,3.91E-15,4.96E-16,3.91E-15,3.37E-15,4.43E-15,0.9995
