name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,CT,PU_TeV,TeV_extent,true_Class,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
IC2395_CXO-15.0,130.74482790072577,-48.12411586840355,0.3620770781442157,62.383522,9.418817858810528e-14,-0.5196783658680393,0.998,0.9078374160666438,12.808494,,,3,,YSO,0.29600000000000004,0.07766803224186405,0.35036487233449787,12,p,,0.0087,0.1984,0.18580000000000002,0.0621,0.0002,0.2475,0.0013,0.29600000000000004,0.010792346708420162,0.07371416266754835,0.08234173678130438,0.028895317854963874,0.001407052941362897,0.06075908711186062,0.003666666666666667,0.07766803224186405
IC2395_CXO-16.0,130.56037242560387,-48.12254164797685,0.2030622227321707,79.39858,8.722537419558816e-14,-0.7451735549059021,0.363,0.7381067161266972,12.371748,11.19499969482422,10.629,9,,LM-STAR,0.9386,0.04799031888902912,11.860292323924934,12,p,,0.0002,0.0178,0.0059,0.9386,0.0001,0.0019,0.0,0.0355,0.0014070529413628965,0.02661282443188667,0.008420153793072304,0.04799031888902912,0.001,0.005064233865696237,0.0,0.02815451593753243
IC2395_CXO-17.0,130.6216728820981,-48.1183682615846,0.2844157543197803,2.9280066,1.9167786373540026e-15,-0.22850713014329696,,0.1138522048387122,,,,0,,LMXB,0.5106,0.19914879468438274,0.3523789419938444,12,p,,0.0766,0.024900000000000002,0.009899999999999999,0.0060999999999999995,0.0,0.5106,0.37,0.0019,0.1306952658869193,0.037698833141120165,0.01388953533849106,0.01462632192074593,0.0,0.19914879468438274,0.19985348168449338,0.005259911279353167
IC2395_CXO-18.0,130.54910025136317,-48.10913807004356,0.171793492605582,200.41777,2.885666624684674e-13,-0.14017323491381867,0.997,1.0,10.337222,,,3,,HM-STAR,0.2697,0.0713712020695216,0.030444621461115123,12,p,,0.003,0.26539999999999997,0.2697,0.0676,0.0005,0.1574,0.0004,0.23600000000000002,0.0059458839001056306,0.06986885261442734,0.0713712020695216,0.027674880124383367,0.0021904291355759036,0.04164835961458576,0.001969463855669324,0.057665002603420785
IC2395_CXO-19.0,130.6579987362922,-48.10684120546122,0.1618290889338226,70.11868,5.5037718861531225e-14,-0.5439226115333068,0.994,0.9740144187097486,13.644716,,,3,,YSO,0.3529,0.08685637744593257,0.43446291810351856,12,p,,0.0083,0.17240000000000003,0.132,0.0507,0.0003,0.2824,0.001,0.3529,0.010352865216055804,0.05792924977762078,0.06332535834956649,0.02230436837224602,0.0017144660799776532,0.07541293729268944,0.003333333333333333,0.08685637744593257
IC2395_CXO-2.0,130.61490136081335,-48.17744097214102,0.257195671012395,81.80928,1.165705763483813e-13,-0.6456227313221419,0.833,0.9999308525434456,,,,0,,LMXB,0.7056,0.08810370381693736,3.3248250520596594,12,p,,0.0023,0.0053,0.0001,0.1004,0.0,0.7056,0.1832,0.0031,0.0046828722947879885,0.008343024667712579,0.0010000000000000002,0.06252143066924568,0.0,0.08810370381693736,0.06901734520679521,0.005259911279353167
IC2395_CXO-20.0,130.65273074108347,-48.10225667545828,0.2570001456647408,32.81651,2.1880384569693293e-14,-0.5385493683810056,0.923,0.9954911152747692,15.927036,,,3,,LMXB,0.4072,0.08775632009816567,0.6769828934594112,12,p,,0.0108,0.1736,0.0605,0.0414,0.0002,0.4072,0.0177,0.28859999999999997,0.009606395176278575,0.06569780833636706,0.06417109390472701,0.024079833550886175,0.001407052941362897,0.08775632009816567,0.016444273818388623,0.0874327447154946
IC2395_CXO-21.0,130.60455996446296,-48.09434647842238,0.0917846127214073,146.5676,1.2685897133151468e-13,-0.648735561585458,1.0,0.9999898812107648,,,10.108,2,,NS,0.307,0.06738252028830653,0.5053175180270268,12,p,,0.07980000000000001,0.0232,0.0151,0.2354,0.0013,0.1999,0.307,0.1383,0.03256632703523159,0.016010097823662178,0.013521027395068089,0.07431056860272707,0.003666666666666666,0.043146333107299636,0.06738252028830653,0.05644439473472716
IC2395_CXO-22.0,130.59988012127272,-48.09299227395184,0.9928696449414334,2.7632787,2.2780089527991715e-14,-0.9992994895302563,,,,,,0,,NS,0.9081999999999999,0.09005475326632452,4.703409899691296,12,p,,0.0034999999999999996,0.0,0.0001,0.0048,0.0,0.0832,0.9081999999999999,0.0002,0.011135075167680681,0.0,0.001,0.01150142722808036,0.0,0.08534990369418152,0.09005475326632452,0.0020000000000000005
IC2395_CXO-23.0,130.69488742756076,-48.09064284962816,0.306282444893966,42.594307,4.9031312692856196e-14,-0.6429085383132521,0.435,0.6585382342492344,14.575971,,11.661424973885886,5,,CV,0.25780000000000003,0.07369853965632392,0.11781514165162672,12,p,,0.0421,0.25780000000000003,0.0575,0.1464,0.0019,0.2327,0.019799999999999998,0.2418,0.022665552557289945,0.07369853965632392,0.03465194909031201,0.04983852714395548,0.004648231987117318,0.06386309536418469,0.015372808212009682,0.062107433800901266
